,num_words,use_tfidf,model,accuracy,precision,recall,f1,auc
186,940,True,log,0.573804254157588,0.7489082177654381,0.31513455238694354,0.4435756280685033,0.7039905934455855
187,940,True,tree100,0.5597174877825832,0.5910604980343467,0.5949146464486452,0.5929755078674976,0.5324908362603114
188,950,True,log,0.5720985377964372,0.7479518963483275,0.31186961528990226,0.440142499574576,0.6966922811067098
189,950,True,tree100,0.5598049695706397,0.5914679154087422,0.5947085118451936,0.593073293087409,0.522052292882873
190,960,True,log,0.574259285009264,0.7508925600370475,0.3171733771569433,0.44594330758302353,0.7037190019947586
191,960,True,tree100,0.5589401163427556,0.5911533678433628,0.5952939418839172,0.5932112112459491,0.5264267323251399
192,970,True,log,0.5741242729875901,0.7489480210455691,0.31712064587212896,0.44555116458818056,0.6983486479428954
193,970,True,tree100,0.559475415333493,0.5912127080904918,0.5952049547600375,0.5932017296467623,0.528266760811373
194,980,True,log,0.5749138572041353,0.7499732516763146,0.31623182469613836,0.4448589738552678,0.7031123751054746
195,980,True,tree100,0.5602740710748666,0.5916288017689375,0.592696954455965,0.592158801068355,0.5280553684231464
196,990,True,log,0.5744222862071172,0.7508838863481925,0.314959024237624,0.4437273101750483,0.7054152009973591
197,990,True,tree100,0.5593085989744706,0.5904906200305575,0.5951852795643835,0.5928117140640892,0.5315045133000686
198,1000,True,log,0.5754629442853109,0.7506680389743987,0.3194078947368421,0.4481152396942236,0.7061377214016192
199,1000,True,tree100,0.5600274337354259,0.5917777699246928,0.5955143540669857,0.5936378092313822,0.5311214477124211
200,1010,True,log,0.5757164799131361,0.7511641568387151,0.3232715733515076,0.4519899306585726,0.7039340989895235
201,1010,True,tree100,0.5604021711162744,0.5935446675329279,0.5960559321380708,0.5947902388681457,0.5325788117432289
202,1020,True,log,0.5757290215883246,0.7507496793507475,0.3196435556358631,0.4483789836486749,0.7039726082829674
203,1020,True,tree100,0.5587291004270328,0.5906978051281795,0.5926686519211687,0.5916711819275979,0.5256965299320177
204,1030,True,log,0.575739050884538,0.7511446497246423,0.3190623817264882,0.44787378819883045,0.7033737219458431
205,1030,True,tree100,0.5609268120026579,0.5925238361258378,0.5951770685070391,0.5938398229388937,0.5306170170093902
